Sum_PASSENGERS,AIRLINE_ID,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
1189,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,5
930,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,6
914,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,7
1419,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,8
855,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,9
830,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,10
907,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,11
1017,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2005,12
1503,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,1
975,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,2
683,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,3
469,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,4
558,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,5
503,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,6
360,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,7
459,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,8
474,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,9
13,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2006,10
31,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2009,3
260,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2009,4
339,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2009,5
23,19386,Northwest Airlines Inc.,BOM,"Mumbai, India",,,IN,India,MSP,"Minneapolis, MN",MN,Minnesota,US,United States,2009,6
